Date and Time,Open,High,Low,Close,Volume
01/03/2014 09:45:00,16.27,16.34,16.23,16.2797,15519948
01/03/2014 10:00:00,16.279,16.46,16.25,16.44,12191224
01/03/2014 10:15:00,16.435,16.5,16.43,16.465,11514107
01/03/2014 10:30:00,16.462,16.5,16.44,16.475,6740174
01/03/2014 10:45:00,16.4701,16.48,16.3986,16.45,4798302
01/03/2014 11:00:00,16.44,16.47,16.43,16.465,3152544
01/03/2014 11:15:00,16.47,16.49,16.46,16.485,3419624
01/03/2014 11:30:00,16.48,16.49,16.42,16.42,4606596
01/03/2014 11:45:00,16.42,16.45,16.42,16.4289,2845926
01/03/2014 12:00:00,16.4275,16.45,16.38,16.38,4399601
01/03/2014 12:15:00,16.38,16.4,16.35,16.399,4979627
01/03/2014 12:30:00,16.4,16.48,16.39,16.48,4807223
01/03/2014 12:45:00,16.475,16.49,16.45,16.47,3683455
01/03/2014 13:00:00,16.475,16.495,16.46,16.4851,3342642
01/03/2014 13:15:00,16.4801,16.49,16.45,16.47,2166052
01/03/2014 13:30:00,16.475,16.48,16.44,16.45,1831353
01/03/2014 13:45:00,16.455,16.46,16.4,16.4,2660909
01/03/2014 14:00:00,16.405,16.44,16.38,16.41,2517642
01/03/2014 14:15:00,16.409,16.42,16.39,16.4,1647755
01/03/2014 14:30:00,16.39,16.41,16.39,16.41,1437561
01/03/2014 14:45:00,16.41,16.47,16.4,16.455,3536257
01/03/2014 15:00:00,16.455,16.47,16.44,16.455,2191269
01/03/2014 15:15:00,16.45,16.48,16.44,16.47,2750374
01/03/2014 15:30:00,16.47,16.48,16.45,16.45,2546046
01/03/2014 15:45:00,16.455,16.47,16.4,16.415,4728244
01/03/2014 16:00:00,16.42,16.43,16.4,16.41,7721250
01/06/2014 09:45:00,16.625,16.69,16.57,16.5899,14057471
01/06/2014 10:00:00,16.58,16.69,16.57,16.65,8557069
01/06/2014 10:15:00,16.65,16.65,16.59,16.6399,6772035
01/06/2014 10:30:00,16.637,16.67,16.63,16.637,3984559
01/06/2014 10:45:00,16.63,16.68,16.62,16.665,3697985
01/06/2014 11:00:00,16.66,16.73,16.66,16.69,6533803
01/06/2014 11:15:00,16.69,16.69,16.62,16.62,4683340
01/06/2014 11:30:00,16.62,16.63,16.59,16.62,4736938
01/06/2014 11:45:00,16.625,16.63,16.56,16.59,5033804
01/06/2014 12:00:00,16.585,16.62,16.58,16.6199,1968927
01/06/2014 12:15:00,16.62,16.62,16.59,16.62,1663627
01/06/2014 12:30:00,16.6177,16.62,16.6,16.609,1488805
01/06/2014 12:45:00,16.61,16.61,16.57,16.58,3159546
01/06/2014 13:00:00,16.58,16.6,16.56,16.6,2051888
01/06/2014 13:15:00,16.6,16.6,16.56,16.56,2244115
01/06/2014 13:30:00,16.565,16.59,16.56,16.58,1377630
01/06/2014 13:45:00,16.58,16.61,16.5667,16.59,2010737
01/06/2014 14:00:00,16.595,16.63,16.57,16.607,4297997
01/06/2014 14:15:00,16.6,16.63,16.6,16.61,2465154
01/06/2014 14:30:00,16.61,16.65,16.61,16.62,2502699
01/06/2014 14:45:00,16.62,16.67,16.62,16.665,2501796
01/06/2014 15:00:00,16.665,16.68,16.65,16.65,2746247
01/06/2014 15:15:00,16.66,16.66,16.61,16.64,2943837
01/06/2014 15:30:00,16.6315,16.64,16.62,16.62,2503280
01/06/2014 15:45:00,16.63,16.63,16.6,16.615,3964205
01/06/2014 16:00:00,16.61,16.66,16.61,16.65,9503457
01/07/2014 09:45:00,16.77,16.79,16.61,16.631,15878958
